Tweet,Stance,Index,Original Tweet
context ronaldo i got a new redbull flavour btw,NONE,26,"@ContextRonaldo Context Ronaldo, I got a new Redbull Flavour btw"
madrid understand the game pass barca also madrid flop when ronaldo leave get ur fact straight,FAVOR,27,"@khumezzy @cfcwil11 @ownedbymessi @amitttrmfc Madrid understand the game pass Barca.
 Also Madrid flop when Ronaldo leave get ur fact straight"
ronaldo fans can t handle messi winning,AGAINST,28,Ronaldo fans can’t handle Messi winning 😂😂😂😂
as long as no ronaldo i agree what ever the team,AGAINST,29,"@ESPNFC as long as NO Ronaldo, i agree what ever the team"
exacto,FAVOR,30,@apb40 @Cristiano Exacto!
ronaldo living rent free in your head lmao not even about him,NONE,31,@boychild_cookie @bresap13 @CryptoTroll10 @Feunekz @_common_W_ Ronaldo living rent free in your head lmao not even about him
goodness me concentrate on your own life because the strange obsession with ronaldo and constantly having something negative to say about harry and meghan shows that you really are a sad little man,NONE,32,@piersmorgan Goodness me @piersmorgan concentrate on your own life because the strange obsession with ronaldo and constantly having something negative to say about harry and meghan shows that you really are a sad little man
nope messi curry ronaldo kyrie lebron kd mbappe luka ja giannis or devin booker,NONE,33,"@Lytswtf nope Messi = Curry 
Ronaldo = Kyrie/Lebron/KD
Mbappe = Luka/Ja/Giannis or Devin Booker"
the messi and ronaldo debate was always based on clout not football,NONE,34,"The Messi and Ronaldo debate was always based on clout, not football."
fact never has a not football league team qualified for the world cup,NONE,35,"@3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Fact:
Never has a Not Football League team qualified for the World Cup."
thats why ronaldo is the its not only bc of being the best player but also bc of his personality ronaldo speaks his mind tells the truth is a very kind and thoughtful person,FAVOR,36,"Thats why Ronaldo is the 🐐 
Its not only bc of being the best player but also bc of his personality. Ronaldo speaks his mind, tells the truth, is a very kind and thoughtful person. #CristianoRonaldo"
im happy messi won the wc would have e preferred ronaldo but one of them had to win it for the story of both of their careers just a shame they act like this towards ronaldo,NONE,37,"I'm happy Messi won the WC, would have e preferred Ronaldo but one of them had to win it for the story of both of their careers, just a shame they act like this towards Ronaldo"
ronaldo did it tho moved when man u was dominant same with madrid and juve so tf u talking about,FAVOR,38,"@juicy_rep @J15SV @MacBreandan @henrywinter Ronaldo did it tho, moved when Man U was dominant, same with Madrid and Juve so tf u talking about"
swimfan,NONE,39,@3YearLetterman @RichieR77444720 @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Swimfan 😂😂😂😂😂
and frances first penalty was a penalty lighter than dimaria tackle you have really lost the plot stop fame whoring using ronaldo leave that guy alone as well you will take him down,NONE,40,@piersmorgan And France's first penalty was a penalty. Lighter than dimaria tackle. You have really lost the plot. Stop fame whoring using Ronaldo..leave that guy alone as well..you will take.him.down
watch top goals by cristiano ronaldo,FAVOR,41,@iUsedToBeADuck Watch top goals by Cristiano Ronaldo
bro take a rest messi vs ronaldo is over its messi vs the egg now leave the conversation my friend,AGAINST,42,"@Nerdz1997 @doronklemer @india97sm @AllySmith111 @andy_murray @FIFAWorldCup @piersmorgan Bro take a rest, messi vs ronaldo is over, its messi vs the egg now, leave the conversation my friend"
i thought you were a ronaldo rider,NONE,43,@BigLegy I thought you were a Ronaldo rider?
sigma males support ronaldo if you dont believe study every ronaldo fans character,FAVOR,44,"Sigma males support Ronaldo.
If you don't believe study every Ronaldo fan's character."
rest my friend its over ronaldo still one of the greatest,AGAINST,45,"@CFCRaf2 Rest my Friend, it's over. Ronaldo still one of the greatest"
de paul has more world cups than ronaldo,AGAINST,46,@UtdHenners De Paul has more world cups than ronaldo😂
ronaldo na she goat,NONE,47,Ronaldo na she goat 🤣😂🤣
shut up he won two international trophys before your short man devil lmao besides world isnt designed to be won by everyone argentina win this twice before portugal hardly qualify for it before ronaldo it brought them up to the light hes literally the goat,FAVOR,48,"@Zeko_Penguin @HULKANATOR619 @EliasAbti @Masi_9000 @UTDTraviss @CFCRaf2 @18 Shut up. He won two international trophy's before your short man devil. Lmao 🤣.
Besides world isn't designed to be won by everyone. 

Argentina win this twice before. Portugal hardly qualify for it before Ronaldo. It brought them up to the light. He's literally the goat 🐐"
yeah rosa parks from the 1913 2005 was vp to ben franklin 1705 1790 makes perfect sense,NONE,49,@JasonAU1981 @hockey_dad74 @RichieR77444720 @3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Yeah Rosa Parks from the 1913-2005 was VP to Ben Franklin (1705-1790). Makes perfect sense.
yes we are going to forget messi was shitted on mocked and nobody cared for what he achieved when he had no international trophy now yall feeling somehow ronaldo can never and will never be the goat until he wins a wc which is impossible,AGAINST,50,"@UTDTrey Yes we are going to forget.... Messi was shitted on, mocked and nobody cared for what he achieved when he had no International trophy now y'all feeling somehow... Ronaldo can never and will never be the GOAT until he wins a WC which is impossible 😂 https://t.co/n2bhVGtu3v"
